Poczta Polska S.A. Oficjalny Spis Pocztowych Numerów Adresowych - styczeń 2021,Unnamed: 0,Strona 99 / 1747 BRZ
PNA Miejscowość Ulica,Numery Gmina Powiat,Województwo
39-207 Brzeźnica Strażacka,Dębica dębicki,podkarpackie
39-206 Brzeźnica Szeroka,Dębica dębicki,podkarpackie
39-207 Brzeźnica Szkolna,Dębica dębicki,podkarpackie
39-207 Brzeźnica Topolowa,Dębica dębicki,podkarpackie
39-206 Brzeźnica Wałowa,Dębica dębicki,podkarpackie
39-206 Brzeźnica Wąska,Dębica dębicki,podkarpackie
39-206 Brzeźnica Wieloncza,Dębica dębicki,podkarpackie
39-207 Brzeźnica Wierzbowa,Dębica dębicki,podkarpackie
39-206 Brzeźnica Wspólna,Dębica dębicki,podkarpackie
39-207 Brzeźnica Zaborowie,Dębica dębicki,podkarpackie
39-207 Brzeźnica Zielona,1-9 Dębica dębicki,podkarpackie
39-206 Brzeźnica Zielona,"28-42(p), 30-33 Dębica dębicki",podkarpackie
39-207 Brzeźnica Złota,Dębica dębicki,podkarpackie
39-207 Brzeźnica Źródlana,Dębica dębicki,podkarpackie
17-120 Brzeźnica,Brańsk bielski,podlaskie
47-417 Brzeźnica,Rudnik raciborski,śląskie
28-300 Brzeźnica,Jędrzejów jędrzejowski,świętokrzyskie
26-225 Brzeźnica,Gowarczów konecki,świętokrzyskie
11-420 Brzeźnica,Srokowo kętrzyński,warmińsko-mazurskie
64-915 Brzeźnica,Jastrowie złotowski,wielkopolskie
73-155 Brzeźnica,Węgorzyno łobeski,zachodniopomorskie
78-425 Brzeźnica,Biały Bór szczecinecki,zachodniopomorskie
21-104 Brzeźnica Bychawska,Niedźwiada lubartowski,lubelskie
21-104 Brzeźnica Bychawska-Kolonia,Niedźwiada lubartowski,lubelskie
21-104 Brzeźnica Książęca,Niedźwiada lubartowski,lubelskie
21-104 Brzeźnica Książęca-Kolonia,Niedźwiada lubartowski,lubelskie
21-104 Brzeźnica Leśna,Niedźwiada lubartowski,lubelskie
64-915 Brzeźnica-Kolonia,Jastrowie złotowski,wielkopolskie
59-700 Brzeźnik,Bolesławiec bolesławiecki,dolnośląskie
07-111 Brzeźnik,Wierzbno węgrowski,mazowieckie
76-024 Brzeźniki,Świeszyno koszaliński,zachodniopomorskie
98-275 Brzeźnio,Brzeźnio sieradzki,łódzkie
55-110 Brzeźno,Prusice trzebnicki,dolnośląskie
87-702 Brzeźno,Koneck aleksandrowski,kujawsko-pomorskie
87-618 Brzeźno,Lipno lipnowski,kujawsko-pomorskie
86-120 Brzeźno,Pruszcz świecki,kujawsko-pomorskie
87-162 Brzeźno,Lubicz toruński,kujawsko-pomorskie
89-530 Brzeźno,Śliwice tucholski,kujawsko-pomorskie
22-174 Brzeźno,Dorohusk chełmski,lubelskie
66-433 Brzeźno,Lubiszyn gorzowski,lubuskie
69-200 Brzeźno,Sulęcin sulęciński,lubuskie
07-440 Brzeźno,Goworowo ostrołęcki,mazowieckie
19-230 Brzeźno,Szczuczyn grajewski,podlaskie
77-300 Brzeźno,Człuchów człuchowski,pomorskie
83-212 Brzeźno,Morzeszczyn tczewski,pomorskie
28-305 Brzeźno,Sobków jędrzejowski,świętokrzyskie
11-008 Brzeźno,Świątki olsztyński,warmińsko-mazurskie
64-700 Brzeźno,Czarnków czarnkowsko-,wielkopolskie
,trzcianecki,
64-730 Brzeźno,Wieleń czarnkowsko-,wielkopolskie
,trzcianecki,
62-513 Brzeźno,Krzymów koniński,wielkopolskie
62-025 Brzeźno,Kostrzyn poznański,wielkopolskie
62-093 Brzeźno,Skoki wągrowiecki,wielkopolskie
78-230 Brzeźno,Karlino białogardzki,zachodniopomorskie
78-449 Brzeźno,Borne Sulinowo szczecinecki,zachodniopomorskie
78-400 Brzeźno,Szczecinek szczecinecki,zachodniopomorskie
84-213 Brzeźno Lęborskie,Łęczyce wejherowski,pomorskie
13-100 Brzeźno Łyńskie,Nidzica nidzicki,warmińsko-mazurskie
14-120 Brzeźno Mazurskie,Dąbrówno ostródzki,warmińsko-mazurskie
62-105 Brzeźno Stare,Wągrowiec wągrowiecki,wielkopolskie
77-139 Brzeźno Szlacheckie,Lipnica bytowski,pomorskie
83-115 Brzeźno Wielkie,Starogard Gdański starogardzki,pomorskie
07-440 Brzeźno-Kolonia,Goworowo ostrołęcki,mazowieckie
07-440 Brzeźno-Wieś,Goworowo ostrołęcki,mazowieckie
38-100 Brzeżanka,Strzyżów strzyżowski,podkarpackie
56-200 Brzeżany,Góra górowski,dolnośląskie
56-200 Brzeżany (Ułanka),Góra górowski,dolnośląskie
37-751 Brzeżawa,Bircza przemyski,podkarpackie
78-316 Brzeżno,Brzeżno świdwiński,zachodniopomorskie
83-412 Brzęczek,Liniewo kościerski,pomorskie
49-100 Brzęczkowice,Niemodlin opolski,opolskie
78-320 Brzękowice,Połczyn-Zdrój świdwiński,zachodniopomorskie
42-504 Brzękowice Dolne,Psary będziński,śląskie
42-504 Brzękowice Górne,Psary będziński,śląskie
42-504 Brzękowice-Wał,Psary będziński,śląskie
32-084 Brzoskwinia,Zabierzów krakowski,małopolskie
97-570 Brzostek,Przedbórz radomszczański,łódzkie
39-230 Brzostek,Brzostek dębicki,podkarpackie
42-445 Brzostek,Szczekociny zawierciański,śląskie
