Poczta Polska S.A. Oficjalny Spis Pocztowych Numerów Adresowych - styczeń 2021,Unnamed: 0,Strona 1647 / 1747 ŻYT
PNA Miejscowość Ulica,Numery Gmina Powiat,Województwo
78-200 Żytelkowo,Białogard białogardzki,zachodniopomorskie
19-505 Żytkiejmy,Dubeninki gołdapski,warmińsko-mazurskie
12-100 Żytkowizna,Szczytno szczycieński,warmińsko-mazurskie
47-435 Żytna,Lyski rybnicki,śląskie
68-343 Żytni Młyn,Brody żarski,lubuskie
08-119 Żytnia,Siedlce siedlecki,mazowieckie
46-325 Żytniów,Rudniki oleski,opolskie
46-325 Żytniów (Bliźniaki),Rudniki oleski,opolskie
46-325 Żytniów (Ignachy),Rudniki oleski,opolskie
97-532 Żytno,Żytno radomszczański,łódzkie
97-532 Żytno (Pławidła),Żytno radomszczański,łódzkie
66-620 Żytowań,Gubin krośnieński,lubuskie
95-200 Żytowice,Pabianice pabianicki,łódzkie
63-805 Żytowiecko,Poniec gostyński,wielkopolskie
09-226 Żytowo,Zawidz sierpecki,mazowieckie
11-100 Żytowo,Lidzbark Warmiński lidzbarski,warmińsko-mazurskie
16-404 Żywa Woda,Jeleniewo suwalski,podlaskie
34-300 Żywiec,Żywiec żywiecki,śląskie
11-612 Żywki,Kruklanki giżycki,warmińsko-mazurskie
11-612 Żywki (Żywki Małe),Kruklanki giżycki,warmińsko-mazurskie
16-060 Żywkowo,Zabłudów białostocki,podlaskie
11-220 Żywkowo,Górowo Iławeckie bartoszycki,warmińsko-mazurskie
11-220 Żywkowo (Grądzik),Górowo Iławeckie bartoszycki,warmińsko-mazurskie
47-300 Żywocice,Krapkowice krapkowicki,opolskie
47-300 Żywocice (Ligota),Krapkowice krapkowicki,opolskie
97-320 Żywocin,Wolbórz piotrkowski,łódzkie
11-612 Żywy,Kruklanki giżycki,warmińsko-mazurskie
11-612 Żywy (Kamienna Struga),Kruklanki giżycki,warmińsko-mazurskie
38-111 Żyznów,Strzyżów strzyżowski,podkarpackie
27-640 Żyznów,Klimontów sandomierski,świętokrzyskie
07-405 Żyźniewo,Troszyn ostrołęcki,mazowieckie
